name,cv_roc_auc,roc_auc,pr_auc,f1,precision,recall,accuracy,tn,fp,fn,tp
logreg_fe,0.7747759599237659,0.7683880692426299,0.5383354446264317,0.5169712793733682,0.45569620253164556,0.5972850678733032,0.7530452194226598,3721,946,534,792
random_forest,0.7882765990630769,0.7774379237940664,0.5571071356437768,0.5400410677618069,0.4943609022556391,0.5950226244343891,0.7757383614216586,3860,807,537,789
xgboost,0.788893084267421,0.7796693416533595,0.5588559603971467,0.5294298921417565,0.44762897342365815,0.6478129713423831,0.7452027365259469,3607,1060,467,859
lightgbm,0.7862901496432771,0.7763405555065396,0.5506882498299159,0.5316786414108425,0.46889400921658986,0.6138763197586727,0.7607208409811447,3745,922,512,814
